"UMI_transID","UMI_cellID","target","CellId","pixel_x","pixel_y","idx_z","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","DecVal","SVM_class","SVM_cell_type"
"t_1_2_5376","c_1_2_2733","EMP3",2733,777.48,2551,5,220.9464,-3160.18,4,"e",-2.89816213475412,-0.550386054150171,"0","e"
"t_1_2_53799","c_1_2_2733","CDH5",2733,836.3801,2624.64,2,231.548418,-3173.4352,1.6,"e",-2.60606626008468,0.364006153015276,"1","e"
"t_1_2_53800","c_1_2_2733","APOD",2733,838.5833,2624.616,2,231.944994,-3173.43088,1.6,"e",-2.92621869946705,0.37675444952285,"1","e"
"t_1_2_5386","c_1_2_2733","B2M",2733,783.8666,2553.044,5,222.095988,-3160.54792,4,"e",-0.760298361278963,1.05209754670847,"1","e"
"t_1_2_5392","c_1_2_2733","TIMP1",2733,781.6,2556.072,5,221.688,-3161.09296,4,"e",-1.02493281677908,0.99899402382623,"1","e"
"t_1_2_53931","c_1_2_2733","HLA-A",2733,841.15,2633.575,2,232.407,-3175.0435,1.6,"e",-0.81524096451094,0.999957438728542,"1","e"
"t_1_2_5404","c_1_2_2733","CD44",2733,839.3001,2559.275,5,232.074018,-3161.6695,4,"e",-0.521071323871175,0.999645634898681,"1","e"
"t_1_2_5452","c_1_2_2733","S100A6",2733,869.15,2568.95,5,237.447,-3163.411,4,"e",-2.21418061794464,-0.999983064594257,"0","e"
"t_1_2_5460","c_1_2_2733","S100A6",2733,854.9499,2571.05,5,234.890982,-3163.789,4,"e",-2.21418061794464,0.901152418511125,"1","e"
"t_1_2_5461","c_1_2_2733","STAT3",2733,832.9819,2571.1,5,230.936742,-3163.798,4,"e",0,1.0953195400139,"1","e"
"t_1_2_5486","c_1_2_2733","CD70",2733,815.1765,2577.288,5,227.73177,-3164.91184,4,"e",0,0.999918241969625,"1","e"
"t_1_2_5534","c_1_2_2733","COL4A5",2733,804.5889,2586.889,5,225.826002,-3166.64002,4,"e",-1.37848665743318,1.00029634695333,"1","e"
"t_1_2_5540","c_1_2_2733","HSP90B1",2733,802.74,2589.7,5,225.4932,-3167.146,4,"e",-2.19681423975674,0.991921569840771,"1","e"
"t_1_2_5546","c_1_2_2733","LGALS3",2733,862.9273,2590.054,5,236.326914,-3167.20972,4,"e",-0.133872654578574,1.04026396848538,"1","e"
"t_1_2_5556","c_1_2_2733","HLA-DRA",2733,852.48,2591.48,5,234.4464,-3167.4664,4,"e",-3.03215204496956,1.01355674957693,"1","e"
"t_1_2_5629","c_1_2_2733","LMNA",2733,832.84,2610.7,5,230.9112,-3170.926,4,"e",-0.366656658093429,0.536634596131442,"1","e"
"t_1_2_5630","c_1_2_2733","CCND1",2733,842.54,2610.8,5,232.6572,-3170.944,4,"e",-3.10608853174243,0.786767955145386,"1","e"
"t_1_2_5646","c_1_2_2733","VIM",2733,829.9199,2613.94,5,230.385582,-3171.5092,4,"e",-2.21720275503733,0.46037278250995,"1","e"
"t_1_2_5658","c_1_2_2733","FABP5",2733,840.5334,2616.089,5,232.296012,-3171.89602,4,"e",-2.24480332588722,0.850266144500391,"1","e"
"t_1_2_5669","c_1_2_2733","GSN",2733,837.1857,2619.014,5,231.693426,-3172.42252,4,"e",-0.151332468837505,1.05229015562763,"1","e"
"t_1_2_64408","c_1_2_2659","ITGB2",2659,1026.917,2441.967,2,265.84506,-3140.55406,1.6,"e",-0.719794690352309,-0.804554926043734,"0","e"
"t_1_2_64415","c_1_2_2659","ITGB2",2659,1027.686,2442.471,2,265.98348,-3140.64478,1.6,"e",-0.719794690352309,-0.858650942823013,"0","e"
"t_1_2_64580","c_1_2_2659","RUNX3",2659,1045.314,2462.471,2,269.15652,-3144.24478,1.6,"e",-2.72217255065463,0.996591831328077,"1","e"
"t_1_2_64613","c_1_2_2659","S100A6",2659,1056.425,2465.875,2,271.1565,-3144.8575,1.6,"e",-2.21418061794464,0.885406078136734,"1","e"
"t_1_2_64650","c_1_2_2659","VIM",2659,1050.117,2470.217,2,270.02106,-3145.63906,1.6,"e",-2.21720275503733,0.771586273447058,"1","e"
"t_1_2_64679","c_1_2_2659","CXCL14",2659,1048,2473.98,2,269.64,-3146.3164,1.6,"e",-3.20833156184476,0.99767362836138,"1","e"
"t_1_2_64693","c_1_2_2659","CSF1",2659,1018.5,2475.68,2,264.33,-3146.6224,1.6,"e",-0.30649737571271,0.999881399927624,"1","e"
"t_1_2_64700","c_1_2_2659","FN1",2659,1033.5,2477.62,2,267.03,-3146.9716,1.6,"e",-0.554819473281333,1.07600130572254,"1","e"
"t_1_2_64721","c_1_2_2659","FCGR3A",2659,1010.364,2480.891,2,262.86552,-3147.56038,1.6,"e",0,0.999938326903761,"1","e"
